overs,Batting Team,Batsman on strike,Batsman on non-strike,Bowler,runs scored,extras,out type,wides
0.1,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,0,0,,
0.2,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,0,0,,
0.3,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,0,0,,
0.4,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,0,0,,
0.5,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,4,0,,
0.6,Delhi Daredevils,G Gambhir,V Sehwag,MM Patel,4,0,,
1.1,Delhi Daredevils,V Sehwag,G Gambhir,SR Watson,4,0,,
1.2,Delhi Daredevils,V Sehwag,G Gambhir,SR Watson,4,0,,
1.3,Delhi Daredevils,V Sehwag,G Gambhir,SR Watson,4,0,,
1.4,Delhi Daredevils,V Sehwag,G Gambhir,SR Watson,0,0,bowled,
1.5,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
1.6,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,1,,wd
1.7,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
2.1,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,0,0,,
2.2,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,4,0,,
2.3,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,0,0,,
2.4,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,1,0,,
2.5,Delhi Daredevils,S Dhawan,G Gambhir,MM Patel,0,0,,
2.6,Delhi Daredevils,S Dhawan,G Gambhir,MM Patel,0,0,,
3.1,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,1,0,,
3.2,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
3.3,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,4,0,,
3.4,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,1,0,,
3.5,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,4,0,,
3.6,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,0,0,,
4.1,Delhi Daredevils,S Dhawan,G Gambhir,MM Patel,0,0,,
4.2,Delhi Daredevils,S Dhawan,G Gambhir,MM Patel,1,0,,
4.3,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,6,0,,
4.4,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,4,0,,
4.5,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,0,0,,
4.6,Delhi Daredevils,G Gambhir,S Dhawan,MM Patel,1,0,,
5.1,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,0,0,,
5.2,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,0,1,,wd
5.3,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,1,0,,
5.4,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,0,0,,
5.5,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,4,0,,
5.6,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,1,0,,
5.7,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,0,0,,
6.1,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,1,0,,
6.2,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,1,0,,
6.3,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
6.4,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
6.5,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,1,0,,
6.6,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,1,0,,
7.1,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,1,0,,
7.2,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,4,0,,
7.3,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,0,1,,wd
7.4,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,0,0,,
7.5,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,4,0,,
7.6,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,2,0,,
7.7,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,0,0,,
8.1,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,0,0,,
8.2,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,1,0,,
8.3,Delhi Daredevils,S Dhawan,G Gambhir,SK Warne,4,0,,
8.4,Delhi Daredevils,S Dhawan,G Gambhir,SK Warne,0,0,,
8.5,Delhi Daredevils,S Dhawan,G Gambhir,SK Warne,1,0,,
8.6,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,1,0,,
9.1,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,0,0,,
9.2,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,0,1,,wd
9.3,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,4,0,,
9.4,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,1,0,,
9.5,Delhi Daredevils,S Dhawan,G Gambhir,YK Pathan,1,0,,
9.6,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,0,0,,
9.7,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,1,0,,
10.1,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,1,0,,
10.2,Delhi Daredevils,S Dhawan,G Gambhir,SK Warne,1,0,,
10.3,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,4,0,,
10.4,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,1,0,,
10.5,Delhi Daredevils,S Dhawan,G Gambhir,SK Warne,1,0,,
10.6,Delhi Daredevils,G Gambhir,S Dhawan,SK Warne,1,0,,
11.1,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,1,0,,
11.2,Delhi Daredevils,S Dhawan,G Gambhir,YK Pathan,1,0,,
11.3,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,2,0,,
11.4,Delhi Daredevils,G Gambhir,S Dhawan,YK Pathan,1,0,,
11.5,Delhi Daredevils,S Dhawan,G Gambhir,YK Pathan,0,0,,
11.6,Delhi Daredevils,S Dhawan,G Gambhir,YK Pathan,0,0,,
12.1,Delhi Daredevils,G Gambhir,S Dhawan,D Salunkhe,1,0,,
12.2,Delhi Daredevils,S Dhawan,G Gambhir,D Salunkhe,1,0,,
12.3,Delhi Daredevils,G Gambhir,S Dhawan,D Salunkhe,1,0,,
12.4,Delhi Daredevils,S Dhawan,G Gambhir,D Salunkhe,1,0,,
12.5,Delhi Daredevils,G Gambhir,S Dhawan,D Salunkhe,1,0,,
12.6,Delhi Daredevils,S Dhawan,G Gambhir,D Salunkhe,0,5,,wd
12.7,Delhi Daredevils,S Dhawan,G Gambhir,D Salunkhe,1,0,,
13.1,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,1,0,,
13.2,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,0,0,,
13.3,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,1,0,,
13.4,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,1,0,,
13.5,Delhi Daredevils,G Gambhir,S Dhawan,SR Watson,1,0,,
13.6,Delhi Daredevils,S Dhawan,G Gambhir,SR Watson,0,0,,
14.1,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,0,1,,wd
14.2,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,1,0,,
14.3,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,4,0,,
14.4,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,2,0,,
14.5,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,4,0,,
14.6,Delhi Daredevils,S Dhawan,G Gambhir,SK Trivedi,1,0,,
14.7,Delhi Daredevils,G Gambhir,S Dhawan,SK Trivedi,0,0,,
15.1,Delhi Daredevils,S Dhawan,G Gambhir,YK Pathan,4,0,,
